title,type,country,release_year,rating,genres,platform
The Piano,Movie,"New Zealand, Australia, France, United States",1993,R,"['Classic Movies', 'Dramas', 'Independent Movies']",Netflix
Unroyal,Movie,,2020,TV-MA,"['Dramas', 'International Movies']",Netflix
Winx Club,TV Show,Italy,2015,TV-Y7,"[""Kids' TV""]",Netflix
Beckett,Movie,"Italy, Brazil, Greece",2021,TV-MA,['Action & Adventure'],Netflix
Brand New Cherry Flavor,TV Show,United States,2021,TV-MA,"['TV Dramas', 'TV Horror', 'TV Mysteries']",Netflix
Fast & Furious Spy Racers,TV Show,United States,2021,TV-Y7,"[""Kids' TV""]",Netflix
Gone for Good,TV Show,France,2021,TV-MA,"['Crime TV Shows', 'International TV Shows', 'TV Dramas']",Netflix
Grace and Frankie,TV Show,United States,2021,TV-MA,"['TV Comedies', 'TV Dramas']",Netflix
The Kingdom,TV Show,Argentina,2021,TV-MA,"['Crime TV Shows', 'International TV Shows', 'Spanish-Language TV Shows']",Netflix
Valeria,TV Show,Spain,2021,TV-MA,"['International TV Shows', 'Romantic TV Shows', 'Spanish-Language TV Shows']",Netflix
AlRawabi School for Girls,TV Show,Jordan,2021,TV-14,"['International TV Shows', 'TV Dramas', 'Teen TV Shows']",Netflix
Lokillo: Nothing's the Same,Movie,Colombia,2021,TV-MA,['Stand-Up Comedy'],Netflix
Monster Hunter: Legends of the Guild,Movie,"United States, Japan",2021,TV-PG,"['Action & Adventure', 'Anime Features', 'Children & Family Movies']",Netflix
Bake Squad,TV Show,United States,2021,TV-PG,['Reality TV'],Netflix
Brother Jekwu,Movie,Nigeria,2016,TV-14,"['Comedies', 'International Movies']",Netflix
La diosa del asfalto,Movie,Mexico,2020,TV-MA,"['Dramas', 'Independent Movies', 'International Movies']",Netflix
Misha and the Wolves,Movie,"Belgium, United Kingdom",2021,PG-13,"['Documentaries', 'International Movies']",Netflix
The Kissing Booth 3,Movie,"United Kingdom, United States",2021,TV-14,"['Comedies', 'Romantic Movies']",Netflix
The Railway Man,Movie,"Switzerland, United Kingdom, Australia",2013,R,"['Dramas', 'International Movies']",Netflix
Gabby's Dollhouse,TV Show,United States,2021,TV-Y,"[""Kids' TV""]",Netflix
I Need Romance,TV Show,,2021,TV-14,"['International TV Shows', 'Romantic TV Shows', 'TV Comedies']",Netflix
Las muñecas de la mafia,TV Show,Colombia,2018,TV-MA,"['Crime TV Shows', 'International TV Shows', 'Spanish-Language TV Shows']",Netflix
The Crowned Clown,TV Show,South Korea,2019,TV-14,"['International TV Shows', 'Romantic TV Shows', 'TV Dramas']",Netflix
Untold: Malice at the Palace,Movie,United States,2021,TV-MA,"['Documentaries', 'Sports Movies']",Netflix
SHAMAN KING,TV Show,Japan,2021,TV-14,"['Anime Series', 'International TV Shows']",Netflix
Quartet,Movie,United Kingdom,2012,PG-13,"['Comedies', 'Dramas', 'Independent Movies']",Netflix
Slay,Movie,South Africa,2021,TV-MA,"['Comedies', 'International Movies', 'Romantic Movies']",Netflix
Takizawa Kabuki ZERO 2020 The Movie,Movie,,2020,TV-PG,"['International Movies', 'Music & Musicals']",Netflix
The Paper Tigers,Movie,United States,2021,PG-13,"['Action & Adventure', 'Comedies']",Netflix
Hit & Run,TV Show,"Israel, United States",2021,TV-MA,"['TV Action & Adventure', 'TV Dramas', 'TV Mysteries']",Netflix
Navarasa,TV Show,India,2021,TV-MA,['TV Shows'],Netflix
Quam's Money,Movie,Nigeria,2020,TV-MA,"['Comedies', 'Dramas', 'International Movies']",Netflix
The Swarm,Movie,France,2021,TV-14,"['Horror Movies', 'Independent Movies', 'International Movies']",Netflix
Vivo,Movie,"Canada, United States",2021,PG,"['Children & Family Movies', 'Music & Musicals']",Netflix
Chennai Express,Movie,India,2013,TV-14,"['Action & Adventure', 'Comedies', 'International Movies']",Netflix
City of God: 10 Years Later,Movie,Brazil,2013,TV-MA,"['Documentaries', 'International Movies']",Netflix
Esperando la carroza,Movie,Argentina,1985,TV-MA,"['Comedies', 'Cult Movies', 'International Movies']",Netflix
Lady Boss: The Jackie Collins Story,Movie,United Kingdom,2021,TV-14,['Documentaries'],Netflix
Tango Feroz,Movie,"Argentina, Spain",1993,TV-MA,"['Classic Movies', 'Dramas', 'International Movies']",Netflix
'76,Movie,Nigeria,2016,TV-PG,"['Dramas', 'International Movies']",Netflix
Aftermath,Movie,United States,2021,TV-MA,['Horror Movies'],Netflix
American Masters: Inventing David Geffen,Movie,United States,2012,TV-MA,['Movies'],Netflix
Car Masters: Rust to Riches,TV Show,,2021,TV-PG,['Reality TV'],Netflix
Cocaine Cowboys: The Kings of Miami,TV Show,United States,2021,TV-MA,"['Crime TV Shows', 'Docuseries']",Netflix
Control Z,TV Show,Mexico,2021,TV-MA,"['International TV Shows', 'Spanish-Language TV Shows', 'TV Dramas']",Netflix
Cooking With Paris,TV Show,United States,2021,TV-MA,['Reality TV'],Netflix
Autumn's Concerto,TV Show,Taiwan,2009,TV-14,"['International TV Shows', 'Romantic TV Shows', 'TV Dramas']",Netflix
Heavy,Movie,United States,1995,R,"['Dramas', 'Independent Movies', 'Romantic Movies']",Netflix
Ije: The Journey,Movie,"United States, Nigeria",2010,TV-MA,"['Dramas', 'International Movies']",Netflix
Office Girls,TV Show,Taiwan,2011,TV-14,"['International TV Shows', 'Romantic TV Shows', 'TV Comedies']",Netflix
Pray Away,Movie,United States,2021,PG-13,"['Documentaries', 'LGBTQ Movies']",Netflix
Shiny_Flakes: The Teenage Drug Lord,Movie,,2021,TV-MA,"['Documentaries', 'International Movies']",Netflix
The Prince Who Turns into a Frog,TV Show,Taiwan,2005,TV-14,"['International TV Shows', 'Romantic TV Shows', 'TV Comedies']",Netflix
Top Secret UFO Projects: Declassified,TV Show,,2021,TV-PG,['Docuseries'],Netflix
Two Fathers,TV Show,Taiwan,2013,TV-14,"['International TV Shows', 'Romantic TV Shows', 'TV Comedies']",Netflix
You're My Destiny,TV Show,Taiwan,2008,TV-MA,"['International TV Shows', 'Romantic TV Shows', 'TV Comedies']",Netflix
30 Rock,TV Show,United States,2012,TV-14,['TV Comedies'],Netflix
44 Cats,TV Show,Italy,2020,TV-Y7,"[""Kids' TV""]",Netflix
Beethoven,Movie,United States,1992,PG,"['Children & Family Movies', 'Comedies']",Netflix
Beethoven's 2nd,Movie,United States,1993,PG,"['Children & Family Movies', 'Comedies']",Netflix
Beowulf,Movie,"United States, United Kingdom",2007,PG-13,"['Action & Adventure', 'Sci-Fi & Fantasy']",Netflix
Boyka: Undisputed,Movie,"Bulgaria, United States",2016,R,['Action & Adventure'],Netflix
Catch Me If You Can,Movie,"United States, Canada",2002,PG-13,['Dramas'],Netflix
Cloudy with a Chance of Meatballs,Movie,"United States, Canada",2009,PG,"['Children & Family Movies', 'Comedies', 'Sci-Fi & Fantasy']",Netflix
Darwin’s Game,TV Show,,2020,TV-MA,"['Anime Series', 'International TV Shows', 'TV Thrillers']",Netflix
Deep Blue Sea,Movie,"United States, Mexico",1999,R,"['Action & Adventure', 'Horror Movies', 'Sci-Fi & Fantasy']",Netflix
Ferris Bueller's Day Off,Movie,United States,1986,PG-13,"['Classic Movies', 'Comedies', 'Cult Movies']",Netflix
Five Feet Apart,Movie,United States,2019,PG-13,"['Dramas', 'Romantic Movies']",Netflix
Freedomland,Movie,United States,2006,R,"['Dramas', 'Thrillers']",Netflix
Friday Night Lights,TV Show,,2010,TV-14,"['TV Dramas', 'Teen TV Shows']",Netflix
Good Luck Chuck,Movie,"United States, Canada",2007,R,"['Comedies', 'Romantic Movies']",Netflix
Hunter X Hunter (2011),TV Show,Japan,2014,TV-14,"['Anime Series', 'International TV Shows']",Netflix
I missed you: Director's Cut,Movie,,2021,TV-14,"['Dramas', 'Independent Movies', 'International Movies']",Netflix
Inception,Movie,"United States, United Kingdom",2010,PG-13,"['Action & Adventure', 'Sci-Fi & Fantasy', 'Thrillers']",Netflix
Magnolia,Movie,United States,1999,R,"['Dramas', 'Independent Movies']",Netflix
Major Payne,Movie,United States,1995,PG-13,['Comedies'],Netflix
My Girl,Movie,United States,1991,PG-13,['Dramas'],Netflix
